                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9498,                 4.3129,                 1.9519,                0.61174,                0.36031,                0.36191,                0.19146,                 1.5436,                 4.0294,                 1.7405,               6.67e-05,               6.67e-05,               6.67e-05
                      2,                  1.319,                 2.0864,                  1.442,                0.60952,                0.64089,                0.55714,                0.37042,                 1.2142,                 4.0436,                 1.4133,             0.00013868,             0.00013868,             0.00013868
                      3,                 1.1131,                 1.5142,                 1.2372,                0.53598,                0.79144,                0.67298,                0.42609,                   1.16,                 2.4125,                 1.3677,             0.00020921,             0.00020921,             0.00020921
                      4,                 1.0919,                 1.3026,                 1.2267,                0.61403,                0.78414,                0.71885,                0.45165,                 1.3301,                 1.6962,                 1.5136,             0.00027829,             0.00027829,             0.00027829
                      5,                 1.0656,                 1.1156,                 1.1526,                0.61982,                0.71078,                0.76681,                0.47256,                 1.3866,                 1.9184,                 1.4131,             0.00034592,             0.00034592,             0.00034592
                      6,                 1.0302,                0.99777,                 1.1402,                0.78725,                0.75854,                0.83265,                0.49707,                 1.3962,                 2.0176,                 1.4572,             0.00041209,             0.00041209,             0.00041209
                      7,                 1.0205,                 1.0096,                   1.14,                0.66975,                0.76998,                0.80117,                0.50841,                 1.3212,                 2.8575,                 1.4434,             0.00047681,             0.00047681,             0.00047681
                      8,                  1.042,                 1.0506,                 1.1489,                0.66894,                0.90573,                0.83705,                0.53345,                 1.3458,                 1.7147,                 1.4972,             0.00054008,             0.00054008,             0.00054008
                      9,                0.95481,                0.92895,                 1.1261,                0.82855,                 0.8351,                0.90028,                  0.612,                 1.2707,                 1.1339,                  1.451,             0.00060189,             0.00060189,             0.00060189
                     10,                  1.031,                0.95744,                 1.1885,                0.72137,                0.76741,                0.82686,                0.56729,                 1.2062,                 1.1579,                 1.3808,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0055,                0.89935,                 1.1767,                0.71279,                0.77709,                0.85215,                0.57933,                 1.2769,                 2.0667,                 1.4429,             0.00060097,             0.00060097,             0.00060097
                     12,                0.97963,                0.88427,                 1.1535,                0.77904,                0.83252,                0.88444,                0.58927,                 1.2054,                 1.7917,                  1.409,             0.00059436,             0.00059436,             0.00059436
                     13,                0.97553,                0.82356,                  1.159,                0.83414,                0.83151,                0.89721,                0.60348,                  1.135,                 1.6645,                 1.3299,             0.00058776,             0.00058776,             0.00058776
